cohort,data_seed,initialization_seed,noise_level,status,F_raw,F_se_GN,H_fix_exact,H_red_exact,C_exact,C_GN,E_raw,E_SAEPS,E_fix,E_GN_fix_reported,E_GN_fix_recomputed,E_GN_fix_difference,E_relax,identity_residual,identity_holds,source_path,source_sha256
e3_heldout_1e5,916104,926002,0.0,PASS,30.458252578322394,1.5529727042181634,30.45581421822969,1.551187534447017,28.904626683782674,28.90527987410423,18.635441695852748,0.0011508407075192157,18.63386976465627,0.9490890526680367,0.0015719311964776438,-0.947517121471559,2.2598123424230813e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916104,926001,0.02,PASS,30.651713755514102,1.5568728136204868,30.652005606900055,1.555854159322621,29.096151447577434,29.094840941893615,18.700891233822432,0.0006547235068369851,18.701078816561036,0.9491986040173537,0.00018758273860572226,-0.9490110212787479,4.504051629402787e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916104,926002,0.02,PASS,30.49586213821896,1.5571811404601696,30.491816385542293,1.5531667643186111,28.938649621223682,28.93868099775879,18.634634639668867,0.0025846394655974236,18.63202979855099,0.9490638610164739,0.00260484111787815,-0.9464590198985957,1.084243235555415e-06,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916105,926001,0.0,PASS,28.090570167210466,1.6083822848102116,28.08837038270518,1.60590225437873,26.48246812832645,26.482187882400254,16.492079561938827,0.0015443221461805682,16.4907097497441,0.9428168139394065,0.0013698121947275516,-0.941447001744679,1.0582319016913653e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916105,926002,0.0,PASS,28.15073181677709,1.6209262391345831,28.15004793677434,1.621300711191605,26.528747225582734,26.529805577642506,16.36305391025003,0.00023097014152104097,16.36263210077705,0.9424426426485893,0.0004218094729814123,-0.9420208331756079,3.9894535930156876e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916105,926001,0.02,PASS,28.28467653896866,1.620691907298621,28.285200515212157,1.6215859591997699,26.663614556012387,26.66398463167004,16.442600692288153,0.0005513441273730845,16.442923818075776,0.9426832455334004,0.00032312578762300757,-0.9423601197457774,1.387942571464108e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916105,926002,0.02,PASS,28.201422542753825,1.6185771952061785,28.19980893450001,1.6165600120518384,26.58324892244817,26.582845347547646,16.445329692713067,0.0012478244709897873,16.44433151866954,0.9426604768800134,0.0009981740435273019,-0.9416623028364861,1.5181549160885027e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916106,926001,0.0,PASS,30.195129110885887,1.679592716787635,30.197254056706033,1.6830102893906407,28.514243767315392,28.515536394098252,16.941143397529114,0.0020306308311024983,16.94240598387271,0.9443089206424912,0.0012625863435983516,-0.9430463342988928,4.533266927766251e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916106,926002,0.0,PASS,30.255025805047257,1.7057093521479345,30.25805929508757,1.7088376712199498,28.54922162386762,28.549316452899323,16.70503199194906,0.0018306706988003372,16.70680716935394,0.9435276785282478,0.0017751774048820055,-0.9417525011233658,3.3215977976143624e-06,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916106,926001,0.02,PASS,30.26322525905136,1.705320736056521,30.265166905410595,1.707471166247906,28.55769573916269,28.55790452299484,16.72400359668354,0.0012594240074438813,16.725140744054602,0.9435898570396966,0.0011371473710623204,-0.9424527096686343,7.310948123543293e-06,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_heldout_1e5,916106,926002,0.02,PASS,30.30301384991622,1.6830400425813785,30.30578394189845,1.6869776869428108,28.61880625495564,28.61997380733484,16.96290129669895,0.002334141327753297,16.964543340922326,0.9443733200487623,0.0016420442233774568,-0.9427312758253849,4.079668342527746e-05,0.0,True,outputs/heldout/e3/e3_all_fits.csv,de68f3cd66cc7fb5beefa1e9de684b99cbbaf7e2739431f5c5b30681b5967e3c
e3_budget_control_1e4,916001,926001,0.0,PASS,29.831602072496462,1.5693360140065309,29.83263595686326,1.570516905092763,28.262119051770497,28.26226605848993,17.994766497458865,0.0007519123639380507,17.995424805788346,0.9473606720466262,0.0006583083294820866,-0.9467023637171441,5.2015462503967e-06,0.0,True,outputs/development/e3_budget_control_1e4/e3_all_fits.csv,f4684fc04618d3d49580db96fa229f3e1f5442c66875e751538a7b7d8f1f5460
e3_budget_control_1e4,916001,926002,0.0,REFERENCE_REDUCTION_FAILED,,,,,,,,,,,,,,,,outputs/development/e3_budget_control_1e4/e3_all_fits.csv,f4684fc04618d3d49580db96fa229f3e1f5442c66875e751538a7b7d8f1f5460
e3_budget_control_1e4,916001,926001,0.02,PASS,29.88019606190969,1.5627147076589942,29.883459701901515,1.5659014395573578,28.317558262344157,28.317481354250695,18.08178581759158,0.002035078196820378,18.08387001005002,0.9475971533166507,0.00208419245843848,-0.9455129608582122,2.715915430351067e-06,0.0,True,outputs/development/e3_budget_control_1e4/e3_all_fits.csv,f4684fc04618d3d49580db96fa229f3e1f5442c66875e751538a7b7d8f1f5460
e3_budget_control_1e4,916001,926002,0.02,PASS,29.912109706170455,1.5615780719684196,29.914669376806902,1.5638015701335561,28.350867806673346,28.350531634202035,18.127816531311996,0.001421854404921796,18.12945335702503,0.94771335319204,0.0016368257130350617,-0.946076527479005,1.1857572525987978e-05,0.0,True,outputs/development/e3_budget_control_1e4/e3_all_fits.csv,f4684fc04618d3d49580db96fa229f3e1f5442c66875e751538a7b7d8f1f5460
