source,benchmark,seed,step_budget,basis_dimension,raw_relative_error,gn_relative_error,corrected_relative_error,improved_over_gn,gn_to_corrected_error_ratio,defect_relative_norm,identity_relative_residual,minimum_gap_eigenvalue,maximum_positive_nested_increment_so_far,dense_oracle_gap_spectral_norm,floating_point_mu_bound,reference_minimum_eigenvalue,subspace_stalled_or_response_converged,reference_scalar,gn_scalar,corrected_scalar
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_84.json,Allen-Cahn,84,5,5,21.90755154045002,0.2785667026014691,1.3629934987429157e-07,True,2043785.9964731324,3.960680746249087e-05,4.4822768100639635e-12,7.167705007304903e-07,0.0,7.167469293471469e-07,0.7773276083529773,5.258796172018222,False,5.258796172018222,6.723721684096233,5.258796888788723
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_84.json,Allen-Cahn,84,10,10,21.90755154045002,0.2785667026014691,5.926147983639425e-12,True,47006369630.07342,5.248842120895916e-11,5.9261476582409565e-12,3.1164404390437994e-11,9.85806991593563e-11,1.770281018499428e-18,1.3651847813543865e-12,5.258796172018222,False,5.258796172018222,6.723721684096233,5.2587961720493865
outputs\posthoc\exact_fixed_state_v3\burgers\seed_55.json,Burgers,55,0,0,22.204466950614524,0.0789616526557739,0.010072708738457153,True,7.839167666419444,0.007009277958999973,8.370673283229899e-12,0.30482516187396413,0.0,0.30482516212983307,86475.99432929048,30.26248149213609,False,30.26248149213609,32.65205704500954,30.567306654010054
outputs\posthoc\exact_fixed_state_v3\burgers\seed_55.json,Burgers,55,1,1,22.204466950614524,0.0789616526557739,0.0004579801525818432,True,172.41282664899563,0.0007579553065349172,8.524186665737197e-12,0.013859615895853494,0.0,0.013859616153934677,1011.1979832601382,30.26248149213609,False,30.26248149213609,32.65205704500954,30.276341108031943
outputs\posthoc\exact_fixed_state_v3\burgers\seed_55.json,Burgers,55,3,3,22.204466950614524,0.0789616526557739,1.0072526992103894e-07,True,783930.9114552279,7.688322403966539e-06,8.642376127753504e-12,3.0481966177831055e-06,0.0,3.0484581575570633e-06,0.10404283386645308,30.26248149213609,False,30.26248149213609,32.65205704500954,30.262484540332707
outputs\posthoc\exact_fixed_state_v3\burgers\seed_55.json,Burgers,55,5,5,22.204466950614524,0.0789616526557739,4.014025951473028e-11,True,1967143551.3962567,8.625655701478202e-08,1.7101526164291035e-12,1.2147438610554673e-09,0.0,1.2664973229609585e-09,1.3095836282484838e-05,30.26248149213609,False,30.26248149213609,32.65205704500954,30.262481493350833
outputs\posthoc\exact_fixed_state_v3\burgers\seed_55.json,Burgers,55,10,10,22.204466950614524,0.0789616526557739,4.8348632658360195e-12,True,16331724045.58586,3.1755184033188947e-12,4.83486326911584e-12,-1.4631496014771983e-10,4.3587533582467586e-10,5.0906864710299564e-20,1.774917890852513e-14,30.26248149213609,False,30.26248149213609,32.65205704500954,30.262481491989774
outputs\posthoc\exact_fixed_state_v3\burgers\seed_56.json,Burgers,56,0,0,19.987875943456046,0.09228635643654069,0.03212017966330336,True,2.8731581642420245,0.003292115240901478,6.714165857616747e-12,1.6385673228423911,0.0,1.6385673224888755,113103.92285903535,51.01364125908731,False,51.01364125908731,46.305778177802495,52.6522085819297
outputs\posthoc\exact_fixed_state_v3\burgers\seed_56.json,Burgers,56,1,1,19.987875943456046,0.09228635643654069,0.004430780285388647,True,20.82846597942867,0.0011697293144143845,3.6757333367541424e-12,0.22603023602096073,0.0,0.2260302362093041,14279.018527371813,51.01364125908731,False,51.01364125908731,46.305778177802495,51.23967149510827
outputs\posthoc\exact_fixed_state_v3\burgers\seed_56.json,Burgers,56,3,3,19.987875943456046,0.09228635643654069,2.8386029489499674e-05,True,3251.1188812327027,8.712593561598688e-05,1.0875253162712582e-12,0.00144807472543107,0.0,0.0014480746699508688,79.21775293400619,51.01364125908731,False,51.01364125908731,46.305778177802495,51.01508933381274
outputs\posthoc\exact_fixed_state_v3\burgers\seed_56.json,Burgers,56,5,5,19.987875943456046,0.09228635643654069,1.7635904918807876e-07,True,523286.7656148541,1.0105439716914616e-05,4.158350314097667e-12,8.996717269837973e-06,0.0,8.996505137209408e-06,1.0657075456657816,51.01364125908731,False,51.01364125908731,46.305778177802495,51.01365025580458
outputs\posthoc\exact_fixed_state_v3\burgers\seed_56.json,Burgers,56,10,10,19.987875943456046,0.09228635643654069,1.114278797723333e-11,True,8282160319.760001,7.330327502708005e-10,1.1142639134060021e-11,5.684341886080801e-10,3.985860530519858e-10,7.593137341207453e-15,5.6075656430634215e-09,51.01364125908731,False,51.01364125908731,46.305778177802495,51.01364125965574
