benchmark,grid_index,scan_parameter,scan_value,objective_half_chi2,objective_delta_half_chi2,nuisance,status,boundary
B4,24,k,1.1599092269590576,0.15766763268020512,7.743805596760467e-15,"{""a"": 2.4871180279000873}",PASS,False
B4,25,k,1.2480502938311424,0.15766763268020245,5.079270337660091e-15,"{""a"": 2.8751673039163554}",PASS,False
B4,26,k,1.3428891672977286,0.15766763268020229,4.912736883966318e-15,"{""a"": 3.360583296474057}",PASS,False
B4,27,k,1.444934811168415,0.15766763268020334,5.9674487573602164e-15,"{""a"": 3.9747939688446716}",PASS,False
B4,28,k,1.5547348652216917,0.15766763268020229,4.912736883966318e-15,"{""a"": 4.761614371783862}",PASS,False
B4,29,k,1.6728785841772988,0.15766763268020245,5.079270337660091e-15,"{""a"": 5.783016269903206}",PASS,False
B4,30,k,1.8000000000000003,0.15766763268020634,8.965050923848139e-15,"{""a"": 7.128007483821281}",PASS,False
B5,0,k,0.19999999999999998,809.7778023486158,809.1305399405642,"{""a"": 0.4299100789772954}",PASS,False
B5,1,k,0.21519792494506915,740.7319399974316,740.08467758938,"{""a"": 0.4458983591726141}",PASS,False
B5,2,k,0.23155073450331806,670.269188284615,669.6219258765634,"{""a"": 0.4635335873205456}",PASS,False
B5,3,k,0.24914618792310345,598.8736885254713,598.2264261174197,"{""a"": 0.48301339924692893}",PASS,False
B5,4,k,0.26807871324513055,527.1383681020984,526.4911056940468,"{""a"": 0.5045633527712904}",PASS,False
B5,5,k,0.2884499140614816,455.7744477781179,455.1271853700664,"{""a"": 0.5284416742296759}",PASS,False
B5,6,k,0.31036911478307194,385.61854393457827,384.97128152652675,"{""a"": 0.5549450361785194}",PASS,False
B5,7,k,0.33395394734177536,317.63599588469935,316.98873347664784,"{""a"": 0.5844156616222657}",PASS,False
B5,8,k,0.35933098247582473,252.91878694082357,252.27152453277202,"{""a"": 0.6172501519884813}",PASS,False
B5,9,k,0.38663640898635254,192.6762307135383,192.02896830548676,"{""a"": 0.6539105746475301}",PASS,False
B5,10,k,0.4160167646103808,138.21652779049995,137.5692653824484,"{""a"": 0.6949385335584704}",PASS,False
B5,11,k,0.4476297224325762,90.9174447725803,90.27018236452875,"{""a"": 0.7409732001919987}",PASS,False
B5,12,k,0.4816449370561384,52.18481642458403,51.53755401653249,"{""a"": 0.792774623441269}",PASS,False
